Seed,Dataset,Approach,NMI,GC,ILF1,ARI,EBM,KNN Acc,ASW_B,ASW_C
101112,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6036783798284391,1.0,0.1322957198443579,0.387364754080101,0.2603569056901739,0.6351543861454128,0.7550304035520131,0.6241036877036095
42,MouseRetina,FedscGen-SMPC,0.7863295994471464,1.0,0.0023711810305517,0.2491073531539567,0.2515848735889627,0.9254414084357871,0.8765334568244982,0.6388336569070816
123,MouseRetina,FedscGen-SMPC,0.7958003816595172,1.0,0.0023711810305517,0.2518674082198142,0.2409641317760281,0.918399129945132,0.8754612185165833,0.6364383697509766
456,MouseRetina,FedscGen-SMPC,0.7098544259950611,0.9997445441938544,0.0023711810305517,0.2276048186552258,0.2470169030485353,0.9153403869547716,0.8871489003069604,0.6258164495229721
789,MouseRetina,FedscGen-SMPC,0.7789693555304925,1.0,0.0023711810305517,0.221675756268782,0.2560855996824352,0.9249370445994992,0.891554312271651,0.6176758259534836
1618,MouseRetina,FedscGen-SMPC,0.7549044981517894,1.0,0.0023711810305517,0.2430320913960549,0.2483917586083969,0.9209221896968298,0.8782581619149681,0.6241897791624069
2024,MouseRetina,FedscGen-SMPC,0.7891154060053089,1.0,0.0023711810305517,0.2281031613269938,0.2422293867100701,0.9244290813848636,0.8815352931765004,0.6245814263820648
2718,MouseRetina,FedscGen-SMPC,0.777237871191482,1.0,0.0023711810305517,0.2370439001840251,0.2371513563001856,0.9228457135170882,0.8844195019474782,0.6380232274532318
9999,MouseRetina,FedscGen-SMPC,0.7842024202053115,0.9997810378804468,0.0023711810305517,0.2478469022103985,0.2453184958392938,0.922777459036609,0.8795556318798813,0.6369475871324539
31415,MouseRetina,FedscGen-SMPC,0.7982230325259974,1.0,0.0023711810305517,0.2370737590671501,0.2452503327352477,0.9202168172891398,0.8758327390618416,0.6336041837930679
101112,MouseRetina,FedscGen-SMPC,0.7917135196038266,1.0,0.0023711810305517,0.2321673231032002,0.2358588824169619,0.9226003589729892,0.8876611028938031,0.649507001042366
42,PBMC,FedscGen-SMPC,0.7948838151706166,1.0,0.0041897720271102,0.4488728353919457,0.7563389291886528,0.940084794905125,0.9169370501621692,0.6730147898197174
123,PBMC,FedscGen-SMPC,0.7570445220032865,0.991614255765199,0.0041897720271102,0.4791315897438791,0.7263418400553932,0.9373504210386971,0.9097782003718812,0.6693696528673172
456,PBMC,FedscGen-SMPC,0.82678351926243,0.991614255765199,0.0041897720271102,0.4816307983924538,0.7226518579333514,0.9463114157758188,0.903216784835928,0.6747529208660126
789,PBMC,FedscGen-SMPC,0.7922676811355218,0.9997752808988764,0.0041897720271102,0.4545468886816643,0.7373565683247976,0.9351620553769504,0.9018369182682712,0.6711616367101669
1618,PBMC,FedscGen-SMPC,0.8185735032596656,1.0,0.0041897720271102,0.4728122109076965,0.7293144607782268,0.9354272723065532,0.9023788883863936,0.6696328967809677
2024,PBMC,FedscGen-SMPC,0.8097795604599457,1.0,0.0041897720271102,0.4487726191191452,0.7332183053534385,0.9379442406513888,0.9171584328522436,0.6752489805221558
2718,PBMC,FedscGen-SMPC,0.8359182918540252,0.991614255765199,0.0041897720271102,0.430796584477102,0.7221422527416348,0.9403624488361144,0.9118095740937702,0.6630573123693466
9999,PBMC,FedscGen-SMPC,0.8313994309893608,1.0,0.0041897720271102,0.5684281435634746,0.7302608122354778,0.9424489762579348,0.9154034279128888,0.6633810698986053
31415,PBMC,FedscGen-SMPC,0.8236020718743515,1.0,0.0041897720271102,0.4612936766610652,0.7403664261242874,0.9392792830243236,0.9014990731288572,0.6693437099456787
101112,PBMC,FedscGen-SMPC,0.8276716619260921,1.0,0.0041897720271102,0.4882059585490543,0.7355176442521381,0.9419146872004822,0.92653099313286,0.6688536256551743
42,CellLine,scGen,0.9412679110751326,1.0,1.0,0.2137839528780722,0.4565273573069803,0.9978096917820276,0.9078649621505076,0.82225102186203
123,CellLine,scGen,0.94156575123012,1.0,1.0,0.1964421384368917,0.4440566186665398,0.9974439352322096,0.901334195069363,0.8169342577457428
456,CellLine,scGen,0.9573060127777512,1.0,1.0,0.2026523831572658,0.4525453587530097,0.9975660843150016,0.9090520671071745,0.8205330669879913
789,CellLine,scGen,0.9428383967776311,1.0,1.0,0.2039487977556259,0.4418931909769604,0.9976818624767624,0.9016814225868052,0.8214005529880524
1618,CellLine,scGen,0.960203870898066,1.0,1.0,0.2197479841846115,0.4586037414987077,0.997672815651082,0.91629324761882,0.8193909525871277
2024,CellLine,scGen,0.9619090075358252,1.0,1.0,0.2152497594573593,0.4462464504734539,0.9977999542577884,0.9098635579180294,0.817497968673706
2718,CellLine,scGen,0.9785355801015082,1.0,1.0,0.24632457562695,0.458807178409371,0.9975472999650824,0.9185681895258612,0.8235246241092682
9999,CellLine,scGen,0.9781011252260268,1.0,1.0,0.2136572089360681,0.4319106955855314,0.9977436880976144,0.8995048179137082,0.8218631744384766
31415,CellLine,scGen,0.9616811036275484,1.0,1.0,0.2081867148070629,0.4374407429853065,0.9978223467345052,0.9063766947831566,0.820103108882904
101112,CellLine,scGen,0.9586496321373128,1.0,1.0,0.2118130864449351,0.4527422305994563,0.9972803677991916,0.9105469296699022,0.8198054432868958
42,HumanDendriticCells,scGen,0.819145826203159,1.0,0.4986737400530504,0.8432251931314677,0.648118962509741,0.9336711459499814,0.924772133618152,0.6120141819119453
123,HumanDendriticCells,scGen,0.8046706379324754,1.0,0.4986737400530504,0.8145275144721013,0.6565571698302819,0.9237961926091826,0.9280800673570316,0.6214567944407463
456,HumanDendriticCells,scGen,0.8230194368766879,1.0,0.4986737400530504,0.8262575484290549,0.6411125996270869,0.9362896603210152,0.9361826688223358,0.6156968548893929
789,HumanDendriticCells,scGen,0.819462706802454,1.0,0.4986737400530504,0.8376625330401073,0.6425233440495286,0.9287196715192236,0.9534151717300502,0.6189237534999847
1618,HumanDendriticCells,scGen,0.805795813173609,1.0,0.4986737400530504,0.8041011406951216,0.6366687073194911,0.9167805151175812,0.9203737703050904,0.616898387670517
2024,HumanDendriticCells,scGen,0.8134211552654322,1.0,0.4986737400530504,0.8077456470295659,0.6173131351543778,0.9289063083240016,0.9435604745333636,0.6129750534892082
2718,HumanDendriticCells,scGen,0.8179024407627375,1.0,0.4986737400530504,0.8063233179090125,0.6425380241379883,0.932263904441956,0.9427410472037367,0.6181134879589081
9999,HumanDendriticCells,scGen,0.8244119833366019,1.0,0.4986737400530504,0.8203923012686438,0.6565937285506783,0.9379022023142964,0.9416996765705622,0.6263179928064346
31415,HumanDendriticCells,scGen,0.8098542528451036,1.0,0.4986737400530504,0.795110631120546,0.6454601937944742,0.9285610302351625,0.9331819396466016,0.6206613853573799
101112,HumanDendriticCells,scGen,0.8259050369905749,1.0,0.4986737400530504,0.8228053064232808,0.6338789238386813,0.9384938409854424,0.9506742065200102,0.6152655631303787
42,HumanPancreas,scGen,0.877831931310306,1.0,0.0046904315196998,0.4602655372071578,0.40476971930057,0.7817984120980663,0.8666522363315589,0.6704941391944885
123,HumanPancreas,scGen,0.8719077462062673,1.0,0.0046904315196998,0.465680848359768,0.3920026566937553,0.7744340401093717,0.8535985067758727,0.6637803167104721
456,HumanPancreas,scGen,0.8684421847422166,0.9995565410199556,0.0046904315196998,0.5233821880845848,0.3877362664450354,0.7954658886025222,0.8615527199971914,0.6771885901689529
789,HumanPancreas,scGen,0.8742957629100279,1.0,0.0046904315196998,0.4652424760988211,0.3959618120970647,0.7560192844830816,0.8538108779194974,0.6640750020742416
1618,HumanPancreas,scGen,0.8673201449393543,1.0,0.0046904315196998,0.5313670150903543,0.401233011790252,0.7822772802853311,0.8556122352529246,0.6790062487125397
2024,HumanPancreas,scGen,0.864189612576342,1.0,0.0046904315196998,0.4840903092652466,0.3935084035435382,0.7832259368918787,0.8571698155970218,0.6725051403045654
2718,HumanPancreas,scGen,0.8695054674368513,1.0,0.0046904315196998,0.4494210644236225,0.3921535720720209,0.7914761891397609,0.8624446420161669,0.6665311902761459
9999,HumanPancreas,scGen,0.8720353272085674,1.0,0.0046904315196998,0.4718179146821085,0.3955338699628983,0.7842170989597628,0.862161910178841,0.678251326084137
31415,HumanPancreas,scGen,0.8703784042532722,1.0,0.0046904315196998,0.4762715066429778,0.3935126907777867,0.7818359786771363,0.8736084128119269,0.6697337925434113
101112,HumanPancreas,scGen,0.8511085756675779,1.0,0.0046904315196998,0.4897205504905896,0.400628780307369,0.7787028515872071,0.8649415407627165,0.6693492829799652
42,MouseCellAtlas,scGen,0.8024316730586761,1.0,0.0354558610709117,0.4924591597906748,0.2728216040012883,0.9103125597407096,0.8655662246651482,0.5927502736449242
123,MouseCellAtlas,scGen,0.7863612895737828,1.0,0.0354558610709117,0.4619787858304276,0.2756378080273134,0.9116975392277804,0.8745871337844329,0.5963050797581673
456,MouseCellAtlas,scGen,0.7924461460736129,1.0,0.0354558610709117,0.5009104075888301,0.2668096014134863,0.9094715275660374,0.8522440931330055,0.5904366597533226
789,MouseCellAtlas,scGen,0.7986013367226695,1.0,0.0354558610709117,0.4868631003156458,0.2689870782518049,0.9084115230348218,0.8589698184180862,0.5891785100102425
1618,MouseCellAtlas,scGen,0.7980620181892424,1.0,0.0354558610709117,0.5022958598917446,0.2702271774565736,0.9100698502761794,0.8582650314031987,0.594935268163681
2024,MouseCellAtlas,scGen,0.8038476112691153,1.0,0.0354558610709117,0.4877851221957976,0.252214328153615,0.9135146593670448,0.8517043675099139,0.5883364230394363
2718,MouseCellAtlas,scGen,0.8199918433328404,0.9817246706781592,0.0354558610709117,0.4279680214558437,0.2749238620770706,0.9180771225687032,0.8616209475163559,0.6016421690583229
9999,MouseCellAtlas,scGen,0.8070543270046551,0.998598317981578,0.0354558610709117,0.4716903487925422,0.2667134449513483,0.9008886246335198,0.8593695218278846,0.5916688814759254
31415,MouseCellAtlas,scGen,0.8131984789617835,0.9986013986013986,0.0354558610709117,0.4689211966616667,0.2718466421349097,0.9106875663514704,0.8602552709389102,0.593989796936512
101112,MouseCellAtlas,scGen,0.8166154792630684,0.9982554758674164,0.0354558610709117,0.4972991832000025,0.2692913103668015,0.9088393898890716,0.8559363062818052,0.5890632197260857
42,MouseHematopoieticStemProgenitorCells,scGen,0.6316396900625252,1.0,0.1322957198443579,0.4605184042447426,0.2159757636433792,0.6737064081227219,0.7337931768499649,0.6378891617059708
123,MouseHematopoieticStemProgenitorCells,scGen,0.7008513009011198,0.9889429455992924,0.1322957198443579,0.4493329559278388,0.222181989659483,0.6708023823597183,0.7380703407598723,0.6356537938117981
456,MouseHematopoieticStemProgenitorCells,scGen,0.7005607130118339,0.9889429455992924,0.1322957198443579,0.4447703974178177,0.2287870278847673,0.6723312569009527,0.7282880495125491,0.634609192609787
789,MouseHematopoieticStemProgenitorCells,scGen,0.6792963254500214,1.0,0.1322957198443579,0.384528662946715,0.217567385901891,0.6768341641824381,0.7419312607839658,0.6380316466093063
1618,MouseHematopoieticStemProgenitorCells,scGen,0.6927321921768261,1.0,0.1322957198443579,0.3872626218005864,0.213442007061413,0.671465028844792,0.7398501066461681,0.6362339407205582
2024,MouseHematopoieticStemProgenitorCells,scGen,0.7032387793168523,0.9849624060150376,0.1322957198443579,0.4069484185559145,0.2403765469570206,0.6712255684189713,0.743756029260359,0.6359524577856064
2718,MouseHematopoieticStemProgenitorCells,scGen,0.6796219922189591,1.0,0.1322957198443579,0.431405014509153,0.2506523200168183,0.670093216589718,0.7399645256743428,0.6363602578639984
9999,MouseHematopoieticStemProgenitorCells,scGen,0.6848540347817739,1.0,0.1322957198443579,0.4189524845785855,0.2283043261056641,0.6674571538661399,0.728972645167266,0.6357880532741547
31415,MouseHematopoieticStemProgenitorCells,scGen,0.6875190431377348,0.977001326846528,0.1322957198443579,0.4265586638026854,0.2217916866513483,0.6756249093338452,0.7416101275223728,0.6372621655464172
101112,MouseHematopoieticStemProgenitorCells,scGen,0.6875829595001426,1.0,0.1322957198443579,0.4476592531607249,0.2278578607935026,0.6731923615391074,0.7429641117299153,0.638325110077858
42,MouseRetina,scGen,0.7640077910396534,1.0,0.0023711810305517,0.2094901863480237,0.226998373222052,0.9297995337553692,0.855206060539252,0.6902904659509659
